Model,Best Score
Random Forest,0.0019042393617382028
Extra Trees,0.001361623570422994
Gradient Boosting,0.000972843528632612
AdaBoost,0.023560934365251897
XGBoost,0.0006924116367467506
LightGBM,0.000814853664537142
CatBoost,0.0007210154489447913
K-Nearest Neighbors,0.005106715567047492
Support Vector Regression,0.0024764247850094226
